132786	M. David Habib (Socialiste, radical, citoyen et divers gauche) - Pyrénées-Atlantiques  élevage - réglementation - bien-être animal. mises aux normes  Ministère : Agriculture et agroalimentaire	Agriculture et agroalimentaire	Agriculture et agroalimentaire	élevage		réglementation - bien-être animal. mises aux normes	132786		Habib David	12/06/2012	19/06/2012	False	http://questions.assemblee-nationale.fr/q13/13-132786QE.htm	M. David Habib attire l'attention de M. le ministre de l'agriculture et de l'agroalimentaire sur les inquiétudes des producteurs de canards à foie gras concernant la mise en conformité de leurs bâtiments de gavage en vue de l'application des normes relatives au bien-être animal. En effet, la France est signataire, depuis 1978, de la convention européenne sur la protection des animaux dans les élevages dont le comité permanent a adopté, le 22 juin 1999, une recommandation concernant les canards de barbarie et les hybrides de canards de barbarie et de canards domestiques. Ainsi, depuis le 1er janvier 2005, les éleveurs ont l'obligation d'équiper toutes les nouvelles installations de cages collectives, qui, dès le 1er janvier 2016, devront également remplacer toutes les cages individuelles déjà existantes. Ce passage représente non seulement un investissement onéreux pour les exploitants mais également un surcroît de pénibilité. Aussi, il lui demande de bien vouloir lui faire le point sur ce dispositif.	
132787	M. Philippe Gosselin (Union pour un Mouvement Populaire) - Manche  énergie et carburants - économies d'énergie - agences territoriales. impôts commerciaux. assujettissement  Ministère : Économie, finances et commerce extérieur	Économie, finances et commerce extérieur	Économie, finances et commerce extérieur	énergie et carburants		économies d'énergie - agences territoriales. impôts commerciaux. assujettissement	132787		Gosselin Philippe	12/06/2012	19/06/2012	False	http://questions.assemblee-nationale.fr/q13/13-132787QE.htm	M. Philippe Gosselin appelle l'attention de M. le ministre de l'économie, des finances et du commerce extérieur sur les inquiétudes des agences locales de maîtrise de l'énergie quant à une éventuelle modification du régime fiscal auquel elles sont assujetties. En effet, les activités de ces agences pourraient désormais être soumises aux impôts commerciaux. Or ces structures mettent en avant leur caractère non lucratif et la nature non concurrentielle de leur activité par rapport aux entreprises du secteur marchand. Elles exercent des missions d'information et de sensibilisation en matière d'énergie durable et de lutte contre le dérèglement climatique dans un objectif d'intérêt général et dans le cadre d'une gestion désintéressée. C'est d'ailleurs pourquoi les agences locales de l'énergie bénéficient de fonds publics. Par conséquent, il lui demande de bien vouloir étudier avec le plus grand intérêt la demande des agences locales de l'énergie et du climat qui souhaitent être reconnues « d'intérêt général ».	
132788	M. Pascal Brindeau (Nouveau Centre) - Loir-et-Cher  enseignement - rythmes et vacances scolaires - aménagement. perspectives  Ministère : Éducation nationale	Éducation nationale	Éducation nationale	enseignement		rythmes et vacances scolaires - aménagement. perspectives	132788		Brindeau Pascal	12/06/2012	19/06/2012	False	http://questions.assemblee-nationale.fr/q13/13-132788QE.htm	M. Pascal Brindeau attire l'attention de M. le ministre de l'éducation nationale sur les fortes inquiétudes exprimées par les élus locaux quant aux conditions de mise en oeuvre de la réforme des rythmes scolaires suite aux annonces récentes du Gouvernement en la matière. En effet, les maires et présidents de syndicats scolaires s'émeuvent en particulier du coût supplémentaire que devraient supporter les communes et structures intercommunales s'agissant de l'accueil périscolaire, des transports, de l'encadrement technique des écoles ou encore des cantines. La question de la modification des rythmes scolaires, outre une concertation avec les associations de parents d'élèves et les organisations syndicales enseignantes devra faire l'objet d'un vrai dialogue avec les associations d'élus locaux. Il lui demande de lui indiquer ses intentions en la matière et s'il est envisagé une expérimentation de ces modifications des rythmes scolaires.	
132789	M. Dominique Bussereau (Union pour un Mouvement Populaire) - Charente-Maritime  enseignement : personnel - assistants d'éducation - statut. perspectives  Ministère : Éducation nationale	Éducation nationale	Éducation nationale	enseignement : personnel		assistants d'éducation - statut. perspectives	132789		Bussereau Dominique	12/06/2012	19/06/2012	False	http://questions.assemblee-nationale.fr/q13/13-132789QE.htm	M. Dominique Bussereau attire l'attention de M. le ministre de l'éducation nationale sur la situation des assistants d'éducation en fin de contrat. L'article L. 916-1 du code de l'éducation prévoit la possibilité de recruter des assistants d'éducation pour des fonctions d'assistance à l'équipe éducative, notamment pour l'encadrement et la surveillance des élèves et l'accompagnement des élèves handicapés en établissement scolaire et en école. Il prévoit notamment que « les assistants d'éducation sont recrutés par des contrats d'une durée maximale de trois ans, renouvelables dans la limite d'une période d'engagement totale de six ans ». La loi n° 2012-347 du 12 mars 2012 relative à l'accès à l'emploi titulaire et à l'amélioration des conditions d'emploi des agents contractuels dans la fonction publique, à la lutte contre les discriminations et portant diverses dispositions relatives à la fonction publique, prévoit qu'un contrat à durée indéterminée sera obligatoirement proposé aux contractuels justifiant d'une ancienneté de service de six ans répondant à des besoins permanents. Aussi, il lui demande si les assistants d'éducation, au terme des six ans, seront éligibles à un contrat pérenne dans le cadre du plan annoncé par le Président de la République du recrutement de 60 000 personnels d'éducation.	
132790	M. Pascal Brindeau (Nouveau Centre) - Loir-et-Cher  entreprises - auto-entrepreneurs - experts comptables. comptables. formation  Ministère : Travail, emploi, formation professionnelle et dialogue social	Travail, emploi, formation professionnelle et dialogue social	Travail, emploi, formation professionnelle et dialogue social	entreprises		auto-entrepreneurs - experts comptables. comptables. formation	132790		Brindeau Pascal	12/06/2012	19/06/2012	False	http://questions.assemblee-nationale.fr/q13/13-132790QE.htm	"M. Pascal Brindeau attire l'attention de M. le ministre du travail, de l'emploi, de la formation professionnelle et du dialogue social sur les préoccupations exprimées par les professionnels des métiers de la comptabilité et de l'expertise comptable concernant le statut de l'auto-entrepreneur. En effet, un nombre croissant d'auto-entrepreneurs intervenant sur le champ de l'aide à la comptabilité des entreprises se qualifient de ""comptables"" ce qui peut créer une confusion avec les professions ""d'expert-comptable"" et de ""comptable agréé"", professions réglementées dans le cadre des dispositions de l'ordonnance n° 45-2138 du 19 septembre 1945. Il lui demande les mesures qu'il entend mettre en oeuvre pour garantir le niveau adéquat de formation et d'expérience des auto-entrepreneurs désireux d'intervenir sur le champ de la comptabilité des entreprises."	
132791	M. Philippe Gosselin (Union pour un Mouvement Populaire) - Manche  établissements de santé - hygiène et sécurité - accidents iatrogènes. syndrome du nez vide. reconnaissance  Ministère : Affaires sociales et santé	Affaires sociales et santé	Affaires sociales et santé	établissements de santé		hygiène et sécurité - accidents iatrogènes. syndrome du nez vide. reconnaissance	132791		Gosselin Philippe	12/06/2012	19/06/2012	False	http://questions.assemblee-nationale.fr/q13/13-132791QE.htm	M. Philippe Gosselin attire l'attention de Mme la ministre des affaires sociales et de la santé sur le syndrome du nez vide. Ce syndrome est une maladie iatrogène qui apparaît suite à une turbinectomie par laquelle une quantité plus ou moins grande de tissu muqueux de cornet est enlevée chirurgicalement de la cavité nasale lorsque celle-ci présente une obstruction persistante et résistante aux traitements classiques. Or ces cornets, qui constituent la majeure partie du tissu fonctionnel du nez interne, jouent un rôle fondamental, notamment en ajustant l'air inspiré à la température du corps, en le filtrant, en l'humidifiant et en le pressurisant. Dans un certain nombre de cas difficilement évaluables en l'absence d'études précises, une turbinectomie peut altérer ces fonctions et entraîner un syndrome du nez vide dont les conséquences peuvent être très dommageables : sècheresse extrême des muqueuses ou hypersécrétions postérieures avec mucosités épaisses, maux de tête récurrents, algies vasculaires, douleurs des yeux, hyperventilation, apnées du sommeil, multiples réveils et fatigue chronique, essoufflement, obstruction nasale paradoxale, perte de l'odorat, etc. Ces symptômes sont rarement compatibles avec la poursuite d'une activité professionnelle et imposent l'utilisation d'un matériel médical coûteux (humidificateur d'air, fauteuil, etc.). Pour autant, le syndrome du nez vide ne figure toujours pas sur la liste des affections de longues durée (ALD) établie à l'article D. 322-1 du code de la sécurité sociale, même s'il remplit les critères d'une affection « comportant un traitement prolongé et une thérapeutique particulièrement coûteuse », tel que l'indique l'article 322-3 du code de la sécurité sociale. Il ne permet pas à ceux qui en sont victimes d'obtenir une pension d'invalidité bien qu'il puisse rendre impossible l'exercice d'une activité professionnelle. Il lui demande donc dans quelle mesure les personnes souffrant du syndrome du nez vide pourraient être reconnues comme victimes d'accident iatrogène, qu'elles puissent prétendre, selon la gravité de leur pathologie, au bénéfice d'une pension d'invalidité et que ce syndrome soit inscrit sur la liste des affections de longue durée.	
132792	Mme Marie-Renée Oget (Socialiste, radical, citoyen et divers gauche) - Côtes-d'Armor  établissements de santé - moyens financiers - affectation d'excédents  Ministère : Affaires sociales et santé	Affaires sociales et santé	Affaires sociales et santé	établissements de santé		moyens financiers - affectation d'excédents	132792		Oget Marie-Renée	12/06/2012	19/06/2012	False	http://questions.assemblee-nationale.fr/q13/13-132792QE.htm	Mme Marie-Renée Oget attire l'attention de Mme la ministre des affaires sociales et de la santé sur les affectations d'excédents des établissements de santé. En effet, dans la continuité des dispositions mises en oeuvre en 2011 (circulaire DGCS/5C/DSS/2011/129 du 22 mars 2011), les résultats des établissements et services médico-sociaux relevant des articles L. 314-3 et L. 314-3-1 du CASF émargent sur l'enveloppe régionale limitative notifiée par la CNSA. Les décisions de reprise ou d'affectation des résultats des établissements et services sociaux et médico-sociaux sont arrêtées suivant les règles de l'article R. 314-51 du CASF d'une part, et d'autre part conformément à la politique définie au plan régional. À l'approbation des comptes administratifs 2010, il est constaté que l'ARS de Bretagne revient sur les principes qu'elle avait elle-même établis concernant les affectations d'excédents pénalisant ainsi les bons gestionnaires dans le but de consolider les comptes des établissements déficitaires ou d'aider les établissements en cours de création. Ainsi l'ARS avait émis des principes relatifs aux affectations d'excédents, à savoir : sur la réserve de compensation dans la limite de 10 % du budget, sur les investissements sur la base de l'existence d'un projet identifié d'investissement concrétisé par un plan pluriannuel validé. Or il s'avère que les décisions de l'ARS du 11 avril 2012 ne tiennent plus comptent de ces principes. Ainsi le plafond des montants affectables à la réserve de compensation passe de 10 % à 5 % du budget ; quant aux investissements il est possible d'affecter les excédents si l'établissement à un projet « formellement » identifié par l'ARS. Il est anormal que la règle change quand sont produits les comptes administratifs n-2, mettant les établissements devant le fait accompli et déstabilisant leur projet. Elle lui demande si elle compte revenir sur ces modifications.	
132793	M. Éric Raoult (Union pour un Mouvement Populaire) - Seine-Saint-Denis  étrangers - roms - délinquance. lutte et prévention  Ministère : Intérieur	Intérieur	Intérieur	étrangers		roms - délinquance. lutte et prévention	132793		Raoult Éric	12/06/2012	19/06/2012	False	http://questions.assemblee-nationale.fr/q13/13-132793QE.htm	M. Éric Raoult attire l'attention de M. le ministre de l'intérieur sur l'installation de manière illégale de familles roms, aux abords de la zone industrielle implantée à la limite des villes de La Courneuve et du Bourget. En effet, la situation sur ce secteur ne cesse de s'aggraver depuis le début de l'installation de ce campement, tant dans des conditions d'hygiène que de sécurité pour les entreprises et la population. En effet, les riverains sont régulièrement confrontés à des nuisances et à des troubles de plus en plus fréquents et de plus en plus violents. Face à cette situation qui devient de plus en plus inquiétante, ne rien faire pourrait entraîner le départ de nombreuses entreprises, dans un secteur qui connaît déjà un chômage important. Il faut aussi noter une augmentation des actes de délinquance qui ne sont pas de nature à rassurer les habitants. L'ancien ministre de l'intérieur avait une position claire en matière d'expulsion des familles roms et, dans le département de la Seine-Saint-Denis, le préfet avait montré sa détermination à faire respecter cette directive. D'ailleurs, de nombreux campements illicites ont été évacués ces dernières années, par les forces de l'ordre, pour faire respecter la loi et permettre une diminution d'actes de délinquance dans ces secteurs. Dès lors, il lui demande de bien vouloir lui indiquer les mesures que le Gouvernement compte prendre afin de mettre un terme à cette situation inquiétante, qui nécessite de la fermeté et de la célérité.	
132794	M. Christophe Bouillon (Socialiste, radical, citoyen et divers gauche) - Seine-Maritime  handicapés - IME - fonctionnement. moyens  Ministère : Affaires sociales et santé	Affaires sociales et santé	Affaires sociales et santé	handicapés		IME - fonctionnement. moyens	132794		Bouillon Christophe	12/06/2012	19/06/2012	False	http://questions.assemblee-nationale.fr/q13/13-132794QE.htm	M. Christophe Bouillon attire l'attention de Mme la ministre des affaires sociales et de la santé au sujet des difficultés rencontrées par les instituts médico-éducatifs. Ceux-ci sont des établissements ayant pour mission d'accueillir des enfants et adolescents handicapés atteints de déficience intellectuelle. L'objectif est de leur dispenser une éducation et un enseignement spécialisés prenant en compte les aspects psychologiques et psychopathologiques ainsi que le recours à des techniques de rééducation. Or ces établissements voient leur mission remise en cause par le manque de moyens financiers octroyés par l'assurance maladie. Ceux-ci se retrouvent dans une situation dans laquelle ils ne peuvent notamment plus assurer de manière efficace les séances d'orthophonie et de psychomotricité nécessaires à l'enseignement spécialisé dont bénéficient ces personnes handicapées. Il lui demande de bien vouloir lui indiquer s'il entend prendre des mesures afin de favoriser le financement des instituts médico-éducatifs par l'assurance maladie.	
132795	M. Gérard Charasse (Socialiste, radical, citoyen et divers gauche) - Allier  handicapés - pensions d'invalidité - versement. réglementation  Ministère : Affaires sociales et santé	Affaires sociales et santé	Affaires sociales et santé	handicapés		pensions d'invalidité - versement. réglementation	132795		Charasse Gérard	12/06/2012	19/06/2012	False	http://questions.assemblee-nationale.fr/q13/13-132795QE.htm	M. Gérard Charasse attire l'attention de Mme la ministre des affaires sociales et de la santé sur l'application qui est faite des dispositifs législatifs et réglementaires traitant du cumul entre les pensions d'invalidité et la rente accident du travail. En effet, il semble que les caisses appliquent systématiquement la règle qui consiste à cumuler les deux prestations dans la limite du salaire perçu par un travailleur valide de même catégorie socioprofessionnelle. Or le code de la sécurité sociale prévoit que l'assuré, titulaire d'une rente allouée en vertu de la législation sur les accidents du travail et les maladies professionnelles, peut prétendre au bénéfice de l'assurance invalidité lorsque son état d'invalidité subit une aggravation non susceptible d'être indemnisée au titre de cette législation et que dans ces conditions s'applique la règle de cumul précitée. Or, dans le cas où les affections ouvrant droit aux deux prestations sont sans aucun rapport et quand de plus fort la perception de l'assurance invalidité est antérieure à l'accident du travail et l'évènement l'ayant déclenché sans rapport avec la cause de l'accident du travail, aucune règle de cumul ne s'applique et le bénéficiaire est en droit de cumuler les deux prestations. Il lui demande de bien vouloir préciser aux caisses les modalités d'application de cet article et l'esprit précité dans lequel il a été adopté par la représentation nationale.	
